,Name,Attribute Vector,Percentiles
10,David Alaba,"[0.04, 0.04, 0.67, 0.11, 0.06, 0.1, 1.41, 58.79, 87.4, 3.04, 0.85, 0.21, 1.06, 3.04, 0.81, 0.74, 1.06, 1.73, 0.46]","[53, 47, 76, 98, 94, 75, 95, 68, 71, 46, 74, 56, 77, 99, 5, 10, 32, 1, 1]"
11,Raúl Albiol,"[0.0, 0.0, 0.08, 0.0, 0.0, 0.0, 0.51, 62.52, 88.5, 4.25, 0.51, 0.17, 0.38, 0.13, 1.06, 0.59, 0.72, 4.71, 1.61]","[20, 1, 2, 28, 3, 1, 23, 77, 80, 79, 47, 45, 8, 30, 17, 3, 5, 84, 24]"
12,Omar Alderete,"[0.04, 0.03, 0.75, 0.04, 0.04, 0.06, 1.06, 38.56, 58.0, 4.22, 1.23, 0.75, 1.1, 0.35, 1.54, 1.14, 1.01, 3.74, 2.68]","[62, 22, 84, 76, 77, 45, 84, 9, 1, 79, 88, 97, 80, 68, 55, 42, 25, 52, 81]"
13,Marcos Alonso,"[0.16, 0.11, 0.6, 0.0, 0.07, 0.19, 1.47, 80.67, 89.5, 5.62, 1.91, 0.22, 1.04, 1.31, 1.09, 0.98, 1.25, 2.78, 1.91]","[98, 97, 68, 28, 95, 99, 96, 98, 86, 95, 98, 57, 74, 95, 20, 27, 55, 14, 42]"
14,Yeray Álvarez,"[0.04, 0.03, 0.31, 0.04, 0.04, 0.07, 1.08, 53.72, 80.7, 5.87, 1.24, 0.23, 0.62, 0.31, 1.31, 1.85, 0.89, 3.9, 2.12]","[56, 29, 21, 72, 86, 56, 85, 51, 23, 97, 89, 60, 31, 65, 36, 89, 15, 60, 53]"
15,Daniel Amartey,"[0.0, 0.06, 0.34, 0.0, 0.03, 0.09, 0.84, 62.27, 91.1, 3.69, 1.29, 0.11, 0.5, 0.28, 1.06, 0.45, 1.34, 3.97, 1.9]","[20, 71, 26, 28, 68, 70, 64, 76, 93, 65, 90, 30, 20, 62, 18, 1, 69, 62, 40]"
16,Bruno Amione,"[0.04, 0.04, 0.5, 0.04, 0.03, 0.06, 0.5, 43.99, 79.4, 2.27, 0.46, 0.08, 1.01, 0.38, 2.14, 1.05, 1.13, 2.77, 2.9]","[60, 46, 53, 74, 63, 47, 21, 20, 18, 19, 43, 21, 72, 71, 85, 32, 39, 13, 86]"
17,Bruno Amione,"[0.04, 0.04, 0.5, 0.04, 0.03, 0.06, 0.5, 43.99, 79.4, 2.27, 0.46, 0.08, 1.01, 0.38, 2.14, 1.05, 1.13, 2.77, 2.9]","[60, 46, 53, 74, 63, 47, 21, 20, 18, 19, 43, 21, 72, 71, 85, 32, 39, 13, 86]"
18,Ethan Ampadu,"[0.0, 0.04, 0.55, 0.03, 0.04, 0.08, 1.36, 52.79, 81.0, 4.26, 0.95, 0.31, 0.65, 0.34, 2.25, 1.23, 1.64, 3.34, 2.08]","[20, 45, 62, 70, 80, 58, 94, 49, 25, 80, 81, 70, 35, 68, 90, 49, 88, 36, 51]"
19,Joachim Andersen,"[0.03, 0.06, 0.71, 0.0, 0.04, 0.1, 0.81, 63.8, 79.2, 3.4, 0.52, 0.16, 1.26, 0.23, 1.36, 0.78, 0.91, 6.08, 2.81]","[51, 68, 82, 28, 85, 79, 60, 80, 16, 57, 47, 43, 87, 53, 42, 12, 16, 99, 84]"
20,Waldemar Anton,"[0.03, 0.05, 0.74, 0.06, 0.04, 0.09, 1.2, 63.16, 79.1, 4.14, 1.72, 0.58, 1.1, 1.6, 1.5, 1.17, 1.35, 3.77, 1.69]","[49, 60, 84, 86, 86, 73, 92, 78, 15, 78, 97, 94, 81, 96, 52, 44, 69, 52, 27]"
21,Ronald Araújo,"[0.0, 0.1, 0.87, 0.09, 0.04, 0.13, 0.87, 62.36, 87.9, 3.89, 1.4, 0.52, 1.44, 0.61, 1.27, 0.52, 1.0, 1.92, 2.14]","[20, 93, 94, 94, 82, 92, 67, 76, 75, 71, 92, 88, 93, 84, 34, 2, 25, 2, 55]"
22,Cédric Avinel,"[0.05, 0.05, 0.15, 0.0, 0.0, 0.05, 0.15, 35.82, 85.0, 1.56, 0.15, 0.0, 0.1, 0.05, 0.65, 0.75, 1.0, 4.57, 1.91]","[65, 61, 5, 28, 3, 34, 1, 4, 50, 5, 7, 2, 1, 8, 2, 11, 24, 78, 42]"
23,Kaan Ayhan,"[0.0, 0.0, 0.17, 0.0, 0.0, 0.0, 0.83, 54.83, 86.7, 2.48, 1.32, 0.0, 0.0, 0.0, 1.65, 0.83, 0.83, 4.29, 0.33]","[20, 1, 7, 28, 3, 1, 62, 56, 66, 27, 91, 2, 1, 2, 63, 14, 11, 69, 1]"
24,Srđan Babić,"[0.09, 0.04, 0.27, 0.0, 0.01, 0.05, 0.6, 41.22, 85.4, 1.89, 0.63, 0.12, 0.48, 0.15, 0.84, 0.87, 1.02, 3.72, 2.13]","[87, 42, 17, 28, 23, 27, 35, 13, 53, 11, 58, 33, 18, 37, 6, 17, 27, 51, 54]"
25,Loïc Bade,"[0.09, 0.03, 0.39, 0.04, 0.0, 0.04, 0.26, 48.81, 86.2, 2.57, 0.35, 0.26, 0.7, 0.09, 1.79, 1.31, 1.31, 4.45, 2.18]","[85, 39, 38, 75, 12, 21, 3, 36, 61, 31, 31, 64, 40, 19, 72, 57, 62, 75, 57]"
26,Loïc Bade,"[0.09, 0.03, 0.39, 0.04, 0.0, 0.04, 0.26, 48.81, 86.2, 2.57, 0.35, 0.26, 0.7, 0.09, 1.79, 1.31, 1.31, 4.45, 2.18]","[85, 39, 38, 75, 12, 21, 3, 36, 61, 31, 31, 64, 40, 19, 72, 57, 62, 75, 57]"
27,Benoît Badiashile,"[0.12, 0.08, 0.53, 0.0, 0.04, 0.12, 1.07, 66.41, 87.6, 5.29, 0.74, 0.04, 0.9, 0.12, 1.31, 1.68, 0.66, 3.65, 2.5]","[94, 84, 59, 28, 84, 88, 84, 84, 72, 93, 66, 8, 61, 28, 37, 82, 3, 49, 73]"
28,Benoît Badiashile,"[0.12, 0.08, 0.53, 0.0, 0.04, 0.12, 1.07, 66.41, 87.6, 5.29, 0.74, 0.04, 0.9, 0.12, 1.31, 1.68, 0.66, 3.65, 2.5]","[94, 84, 59, 28, 84, 88, 84, 84, 72, 93, 66, 8, 61, 28, 37, 82, 3, 49, 73]"
29,Eric Bailly,"[0.0, 0.02, 0.43, 0.0, 0.0, 0.02, 0.32, 50.8, 84.9, 2.56, 0.43, 0.32, 1.07, 0.43, 2.02, 2.88, 2.02, 2.77, 2.13]","[20, 16, 43, 28, 3, 4, 5, 42, 50, 30, 37, 74, 78, 75, 82, 99, 97, 13, 54]"
30,Leonardo Balerdi,"[0.03, 0.04, 0.4, 0.03, 0.01, 0.05, 0.49, 58.26, 84.5, 3.62, 0.6, 0.26, 0.63, 0.63, 1.96, 2.19, 1.52, 2.96, 2.47]","[46, 53, 40, 62, 18, 32, 19, 66, 46, 63, 56, 63, 32, 85, 80, 97, 82, 19, 72]"
31,Abdoulaye Bamba,"[0.0, 0.0, 0.0, 0.0, 0.02, 0.02, 0.53, 47.57, 85.9, 2.38, 0.53, 0.26, 0.13, 1.25, 1.45, 1.19, 0.46, 2.51, 1.12]","[20, 1, 1, 28, 52, 4, 25, 32, 57, 22, 49, 65, 2, 94, 46, 45, 1, 8, 5]"
32,Federico Baschirotto,"[0.08, 0.05, 0.57, 0.0, 0.02, 0.07, 0.54, 38.7, 73.3, 2.89, 0.32, 0.08, 0.97, 0.32, 1.08, 0.97, 1.22, 5.19, 2.46]","[84, 63, 64, 28, 50, 52, 26, 9, 3, 41, 27, 20, 68, 67, 19, 26, 48, 93, 71]"
33,Alessandro Bastoni,"[0.0, 0.04, 0.46, 0.14, 0.13, 0.17, 1.98, 65.35, 82.9, 5.36, 1.86, 0.29, 1.03, 1.86, 1.75, 0.95, 1.18, 2.21, 1.63]","[20, 45, 46, 99, 99, 97, 99, 82, 38, 93, 98, 68, 74, 98, 68, 23, 46, 4, 24]"
34,Maximilian Bauer,"[0.0, 0.08, 0.39, 0.05, 0.02, 0.1, 0.73, 36.96, 72.7, 1.95, 0.54, 0.1, 0.63, 0.1, 1.51, 1.12, 1.22, 3.85, 3.46]","[20, 84, 37, 78, 52, 77, 51, 5, 2, 12, 50, 25, 33, 21, 52, 39, 49, 57, 96]"
35,Timo Baumgartl,"[0.0, 0.03, 0.64, 0.16, 0.02, 0.05, 1.28, 50.61, 81.3, 4.48, 0.64, 0.0, 1.44, 0.32, 1.76, 0.32, 1.92, 2.24, 3.04]","[20, 32, 73, 99, 44, 32, 93, 41, 28, 83, 58, 2, 93, 66, 69, 1, 96, 5, 89]"
36,Rodrigo Becão,"[0.07, 0.05, 0.69, 0.04, 0.02, 0.08, 1.05, 50.72, 77.8, 3.55, 0.69, 0.18, 1.56, 1.74, 2.54, 0.94, 1.59, 2.46, 2.28]","[81, 66, 79, 71, 56, 60, 83, 42, 10, 62, 61, 47, 95, 97, 96, 23, 87, 7, 64]"
37,Mads Bech Sørensen,"[0.0, 0.02, 0.3, 0.0, 0.0, 0.03, 0.6, 54.67, 78.8, 2.78, 0.6, 0.1, 0.89, 0.2, 0.89, 0.6, 1.59, 4.37, 0.99]","[19, 12, 17, 27, 3, 9, 34, 68, 23, 45, 60, 30, 55, 51, 16, 2, 88, 65, 5]"
38,Jan Bednarek,"[0.0, 0.02, 0.41, 0.0, 0.01, 0.03, 0.36, 49.16, 84.0, 2.54, 0.46, 0.05, 0.71, 0.1, 1.52, 2.59, 2.08, 4.67, 2.03]","[20, 15, 41, 28, 14, 8, 8, 36, 43, 29, 41, 11, 42, 22, 53, 99, 98, 82, 48]"
39,Jan Bednarek,"[0.0, 0.02, 0.41, 0.0, 0.01, 0.03, 0.36, 49.16, 84.0, 2.54, 0.46, 0.05, 0.71, 0.1, 1.52, 2.59, 2.08, 4.67, 2.03]","[20, 15, 41, 28, 14, 8, 8, 36, 43, 29, 41, 11, 42, 22, 53, 99, 98, 82, 48]"
40,Stefan Bell,"[0.0, 0.03, 0.26, 0.04, 0.02, 0.05, 0.64, 46.9, 75.7, 3.46, 0.34, 0.23, 0.68, 0.38, 1.62, 1.65, 1.58, 5.0, 3.87]","[20, 21, 16, 71, 59, 27, 40, 29, 5, 60, 29, 59, 38, 70, 59, 81, 86, 89, 98]"
41,Armel Bella Kotchap,"[0.0, 0.05, 0.67, 0.1, 0.05, 0.1, 0.67, 44.88, 79.9, 1.87, 0.43, 0.19, 1.05, 0.1, 1.77, 2.11, 1.39, 5.27, 1.92]","[20, 58, 76, 96, 89, 79, 44, 23, 20, 10, 38, 49, 75, 20, 70, 96, 74, 93, 43]"
42,Jeanöel Belocian,"[0.0, 0.01, 0.45, 0.0, 0.01, 0.02, 0.45, 59.07, 89.4, 3.01, 0.89, 0.22, 0.56, 2.34, 1.23, 0.78, 1.12, 1.9, 0.78]","[20, 7, 46, 28, 28, 5, 14, 68, 86, 45, 77, 58, 25, 98, 31, 12, 37, 1, 1]"
43,Matteo Bianchetti,"[0.04, 0.03, 0.3, 0.0, 0.02, 0.05, 0.68, 39.47, 78.0, 1.98, 0.25, 0.08, 0.55, 0.17, 1.35, 0.84, 1.31, 4.69, 2.66]","[60, 35, 20, 28, 55, 35, 45, 10, 11, 13, 19, 22, 25, 42, 41, 15, 62, 83, 80]"
44,Pedro Bigas,"[0.0, 0.08, 0.98, 0.0, 0.0, 0.08, 0.62, 46.92, 80.1, 3.7, 0.85, 0.22, 0.85, 0.13, 1.65, 1.47, 1.11, 4.23, 1.87]","[20, 86, 96, 28, 3, 63, 38, 29, 20, 66, 73, 58, 54, 32, 62, 73, 37, 69, 39]"
45,Jaka Bijol,"[0.1, 0.07, 0.66, 0.07, 0.05, 0.13, 0.69, 45.56, 84.7, 2.18, 0.1, 0.07, 1.32, 0.23, 1.29, 0.96, 1.35, 5.44, 2.87]","[90, 79, 74, 88, 91, 92, 47, 25, 48, 17, 4, 16, 90, 54, 35, 25, 70, 96, 85]"
46,Miha Blažič,"[0.09, 0.07, 0.36, 0.0, 0.0, 0.07, 0.23, 53.75, 87.5, 2.91, 0.0, 0.0, 0.36, 0.0, 0.36, 1.0, 1.14, 3.64, 2.0]","[88, 79, 32, 28, 13, 55, 2, 51, 71, 42, 1, 2, 8, 2, 1, 29, 40, 48, 46]"
47,Willy Boly,"[0.0, 0.0, 0.26, 0.13, 0.03, 0.03, 0.66, 33.9, 75.2, 1.58, 0.13, 0.13, 1.18, 0.0, 1.71, 1.58, 1.71, 5.91, 1.97]","[20, 1, 16, 99, 64, 8, 42, 1, 5, 5, 5, 36, 84, 2, 65, 78, 91, 98, 45]"
48,Kevin Bonifazi,"[0.0, 0.02, 0.2, 0.0, 0.0, 0.02, 0.9, 72.04, 89.1, 3.29, 0.4, 0.5, 0.4, 0.0, 1.3, 1.2, 1.1, 3.89, 0.8]","[20, 14, 10, 28, 3, 4, 72, 92, 85, 54, 36, 87, 9, 2, 36, 45, 35, 59, 1]"
49,Leonardo Bonucci,"[0.12, 0.06, 0.37, 0.0, 0.01, 0.08, 0.68, 61.34, 87.6, 3.27, 0.12, 0.18, 0.49, 0.06, 0.43, 0.92, 1.17, 3.21, 2.03]","[95, 72, 32, 28, 31, 63, 45, 74, 72, 53, 5, 48, 19, 13, 1, 20, 45, 28, 49]"
50,Sebastiaan Bornauw,"[0.05, 0.02, 0.19, 0.0, 0.0, 0.02, 0.33, 57.6, 86.1, 3.97, 0.28, 0.09, 0.75, 0.28, 1.35, 1.45, 1.26, 3.87, 2.38]","[63, 13, 9, 28, 13, 5, 5, 64, 60, 73, 22, 24, 46, 62, 42, 71, 56, 58, 70]"
51,Sven Botman,"[0.0, 0.07, 0.63, 0.0, 0.03, 0.1, 0.69, 50.8, 86.5, 2.5, 0.23, 0.03, 1.53, 0.14, 1.09, 0.98, 1.27, 3.63, 2.16]","[20, 78, 72, 28, 69, 80, 47, 42, 64, 28, 16, 6, 94, 36, 20, 27, 57, 48, 55]"
52,Juan Brandáriz,"[0.06, 0.02, 0.18, 0.0, 0.01, 0.03, 0.66, 48.72, 82.4, 1.93, 0.79, 0.42, 0.48, 0.6, 1.75, 0.91, 1.21, 3.2, 0.66]","[74, 19, 9, 28, 18, 11, 43, 35, 35, 12, 69, 85, 18, 84, 69, 19, 48, 28, 1]"
53,Lilian Brassier,"[0.0, 0.03, 0.58, 0.0, 0.03, 0.06, 0.84, 47.55, 76.9, 3.23, 0.58, 0.38, 0.81, 0.84, 1.22, 1.54, 1.22, 3.84, 1.78]","[20, 32, 66, 28, 64, 42, 65, 31, 8, 53, 54, 80, 52, 89, 31, 75, 50, 55, 31]"
54,Gleison Bremer,"[0.1, 0.15, 0.99, 0.03, 0.05, 0.2, 0.89, 55.64, 89.7, 1.6, 0.23, 0.13, 1.63, 0.18, 1.07, 1.37, 1.63, 4.34, 2.69]","[92, 99, 97, 58, 88, 99, 70, 59, 87, 5, 16, 35, 95, 43, 18, 63, 88, 73, 81]"
55,Dylan Bronn,"[0.0, 0.04, 0.43, 0.0, 0.02, 0.05, 0.75, 53.85, 84.9, 3.74, 0.53, 0.32, 0.53, 0.27, 1.82, 1.07, 1.71, 3.1, 1.82]","[20, 45, 44, 28, 55, 38, 53, 51, 50, 68, 49, 74, 23, 60, 74, 34, 92, 23, 35]"
56,John Brooks,"[0.0, 0.03, 0.47, 0.0, 0.0, 0.03, 0.2, 51.53, 80.7, 2.67, 0.13, 0.13, 0.47, 0.07, 1.2, 0.67, 1.13, 7.0, 4.27]","[20, 23, 48, 28, 3, 9, 1, 45, 23, 34, 5, 36, 17, 15, 29, 5, 39, 99, 99]"
57,Santiago Bueno,"[0.0, 0.04, 0.39, 0.03, 0.03, 0.07, 0.72, 54.51, 86.5, 4.43, 0.9, 0.06, 0.51, 0.12, 1.88, 0.93, 1.02, 3.14, 2.21]","[20, 47, 36, 65, 74, 54, 48, 54, 64, 82, 78, 14, 21, 26, 76, 21, 26, 26, 58]"
58,Alessandro Buongiorno,"[0.03, 0.07, 0.66, 0.07, 0.04, 0.12, 0.73, 52.03, 84.7, 2.68, 0.43, 0.2, 1.09, 0.63, 1.26, 1.98, 1.26, 3.47, 3.27]","[51, 79, 74, 89, 86, 88, 50, 47, 48, 34, 38, 50, 80, 84, 34, 92, 55, 42, 94]"
59,Leandro Cabrera,"[0.0, 0.08, 0.78, 0.03, 0.05, 0.12, 1.18, 45.29, 71.4, 3.2, 0.44, 0.2, 1.35, 0.27, 1.55, 1.45, 1.25, 3.84, 2.09]","[20, 83, 87, 70, 91, 90, 91, 24, 2, 51, 40, 52, 91, 60, 57, 71, 54, 56, 52]"
60,Mattia Caldara,"[0.0, 0.06, 0.79, 0.0, 0.0, 0.06, 0.5, 43.1, 76.8, 2.51, 0.36, 0.14, 1.22, 0.29, 1.65, 1.22, 1.65, 6.32, 2.51]","[20, 67, 88, 28, 3, 41, 21, 18, 8, 29, 32, 40, 85, 63, 63, 49, 89, 99, 75]"
61,Luca Caldirola,"[0.08, 0.04, 0.38, 0.0, 0.02, 0.06, 0.46, 54.89, 87.9, 2.41, 0.46, 0.04, 0.46, 0.5, 0.99, 0.96, 1.22, 2.52, 1.3]","[83, 53, 34, 28, 51, 44, 15, 56, 75, 25, 42, 8, 16, 78, 12, 24, 50, 8, 10]"
62,Fernando Calero,"[0.0, 0.04, 0.39, 0.06, 0.03, 0.07, 1.23, 42.74, 80.7, 3.58, 0.5, 0.06, 0.78, 0.22, 2.57, 0.73, 1.73, 2.91, 1.96]","[20, 48, 37, 84, 75, 54, 93, 17, 23, 63, 46, 12, 49, 52, 96, 8, 92, 18, 44]"
63,Duje Ćaleta-Car,"[0.09, 0.08, 0.47, 0.0, 0.0, 0.08, 0.57, 53.77, 84.6, 3.11, 0.47, 0.19, 0.85, 0.0, 1.32, 1.42, 1.42, 6.23, 1.89]","[89, 81, 48, 28, 3, 59, 29, 51, 47, 47, 43, 48, 55, 2, 38, 69, 76, 99, 39]"
64,Duje Ćaleta-Car,"[0.09, 0.08, 0.47, 0.0, 0.0, 0.08, 0.57, 53.77, 84.6, 3.11, 0.47, 0.19, 0.85, 0.0, 1.32, 1.42, 1.42, 6.23, 1.89]","[89, 81, 48, 28, 3, 59, 29, 51, 47, 47, 43, 48, 55, 2, 38, 69, 76, 99, 39]"
65,Alexander Callens,"[0.16, 0.19, 0.96, 0.08, 0.04, 0.23, 0.96, 56.75, 86.8, 3.6, 1.92, 0.08, 1.6, 1.76, 1.28, 0.64, 1.04, 3.04, 2.16]","[96, 99, 94, 93, 78, 99, 76, 74, 78, 75, 97, 22, 94, 98, 46, 3, 32, 13, 47]"
66,Ousmane Camara,"[0.0, 0.03, 0.17, 0.0, 0.0, 0.03, 0.17, 62.71, 90.9, 2.76, 0.52, 0.35, 0.17, 0.0, 1.73, 1.9, 0.69, 2.59, 1.73]","[20, 37, 8, 28, 3, 16, 1, 78, 93, 36, 48, 78, 2, 2, 66, 90, 4, 9, 28]"
67,Carmona,"[0.17, 0.1, 0.75, 0.06, 0.05, 0.14, 1.67, 46.78, 80.5, 2.07, 1.26, 0.92, 1.55, 3.16, 2.01, 1.03, 1.78, 2.07, 0.69]","[99, 93, 84, 85, 89, 94, 98, 28, 22, 15, 89, 99, 95, 99, 82, 32, 93, 3, 1]"
68,Carmona,"[0.17, 0.1, 0.75, 0.06, 0.05, 0.14, 1.67, 46.78, 80.5, 2.07, 1.26, 0.92, 1.55, 3.16, 2.01, 1.03, 1.78, 2.07, 0.69]","[99, 93, 84, 85, 89, 94, 98, 28, 22, 15, 89, 99, 95, 99, 82, 32, 93, 3, 1]"
69,Nicolò Casale,"[0.04, 0.02, 0.28, 0.04, 0.01, 0.03, 0.46, 60.37, 91.9, 2.56, 0.39, 0.04, 0.53, 0.14, 1.49, 0.64, 0.89, 2.7, 1.6]","[54, 16, 19, 71, 27, 13, 16, 72, 96, 30, 35, 7, 22, 34, 51, 4, 15, 11, 23]"
70,Jean-Charles Castelletto,"[0.0, 0.03, 0.35, 0.03, 0.01, 0.04, 0.9, 47.22, 83.2, 4.04, 0.58, 0.32, 0.95, 0.69, 1.53, 1.91, 1.13, 3.44, 2.6]","[20, 26, 28, 63, 39, 25, 71, 31, 40, 75, 53, 73, 66, 86, 54, 90, 38, 40, 77]"
71,Catena,"[0.03, 0.04, 0.41, 0.03, 0.04, 0.08, 0.9, 52.93, 82.5, 3.45, 0.23, 0.06, 0.7, 0.06, 0.84, 0.81, 0.93, 4.61, 2.32]","[46, 50, 40, 63, 83, 64, 72, 49, 36, 59, 16, 14, 40, 11, 7, 14, 18, 79, 65]"
72,Maximiliano Caufriez,"[0.04, 0.04, 0.57, 0.0, 0.0, 0.04, 0.49, 45.61, 88.5, 3.73, 1.34, 0.2, 0.57, 0.53, 1.62, 1.38, 1.34, 2.84, 0.81]","[58, 44, 63, 28, 3, 18, 19, 26, 80, 66, 91, 52, 26, 81, 60, 63, 67, 16, 2]"
73,Federico Ceccherini,"[0.13, 0.05, 0.44, 0.0, 0.01, 0.06, 1.21, 39.57, 76.9, 3.37, 1.59, 0.13, 0.95, 1.27, 1.59, 1.21, 1.08, 3.49, 1.91]","[95, 62, 46, 28, 33, 48, 92, 11, 8, 56, 95, 35, 66, 94, 58, 47, 34, 42, 41]"
74,Julian Chabot,"[0.0, 0.08, 0.7, 0.1, 0.1, 0.18, 0.75, 59.1, 82.3, 2.6, 0.25, 0.2, 0.85, 0.1, 1.8, 2.05, 1.5, 5.24, 4.49]","[20, 85, 80, 97, 99, 98, 54, 69, 34, 32, 18, 51, 55, 22, 73, 94, 81, 93, 99]"
75,El Chadaille Bitshiabu,"[0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.43, 70.51, 92.7, 3.44, 0.14, 0.14, 0.29, 1.15, 1.58, 1.29, 1.43, 2.15, 1.0]","[20, 1, 1, 28, 39, 2, 14, 89, 97, 58, 7, 40, 5, 93, 58, 55, 77, 3, 3]"
76,Trevoh Chalobah,"[0.0, 0.07, 0.66, 0.0, 0.03, 0.09, 0.88, 65.82, 88.1, 3.65, 1.01, 0.4, 1.28, 1.23, 1.71, 1.28, 0.92, 3.21, 1.8]","[20, 75, 74, 28, 65, 69, 68, 83, 78, 64, 83, 83, 88, 94, 65, 53, 18, 29, 33]"
77,Brendan Chardonnet,"[0.0, 0.04, 0.58, 0.0, 0.01, 0.06, 0.72, 47.62, 80.4, 2.89, 0.33, 0.11, 0.98, 0.25, 1.63, 2.28, 1.45, 3.11, 3.32]","[20, 54, 66, 28, 40, 42, 49, 32, 22, 41, 27, 28, 68, 58, 60, 99, 79, 24, 95]"
78,Vlad Chiricheș,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46, 37.54, 83.9, 1.65, 0.18, 0.27, 0.18, 0.09, 3.2, 2.01, 3.3, 4.03, 1.65]","[20, 1, 1, 28, 3, 1, 15, 6, 43, 6, 10, 66, 2, 20, 99, 93, 99, 62, 25]"
79,Andreas Christensen,"[0.04, 0.05, 0.52, 0.04, 0.03, 0.07, 0.86, 77.94, 93.7, 4.95, 0.99, 0.04, 0.73, 0.26, 1.16, 1.03, 0.82, 2.24, 2.07]","[61, 58, 57, 75, 64, 55, 66, 95, 99, 90, 82, 9, 43, 58, 26, 31, 11, 5, 50]"
80,Víctor Chust,"[0.09, 0.08, 0.19, 0.0, 0.0, 0.09, 0.47, 41.04, 82.7, 2.05, 0.37, 0.09, 0.56, 0.19, 0.84, 0.93, 0.75, 4.94, 1.49]","[89, 88, 9, 28, 3, 74, 16, 13, 37, 14, 33, 24, 25, 47, 6, 22, 6, 89, 18]"
81,Conor Coady,"[0.04, 0.03, 0.17, 0.04, 0.01, 0.05, 0.73, 51.91, 84.8, 1.85, 0.17, 0.0, 0.43, 0.04, 0.6, 0.6, 0.9, 3.78, 1.07]","[61, 37, 8, 75, 34, 36, 50, 46, 49, 9, 9, 2, 14, 7, 2, 3, 16, 53, 4]"
82,Alexandre Coeff,"[0.0, 0.02, 0.15, 0.15, 0.05, 0.06, 0.46, 54.22, 81.3, 3.99, 0.46, 0.0, 0.15, 1.38, 1.54, 1.23, 1.38, 5.38, 0.92]","[20, 11, 5, 99, 89, 45, 15, 52, 28, 74, 43, 2, 2, 96, 55, 50, 73, 94, 2]"
