,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,league
52,João Félix,,23,1.81,Portugal,Viseu,50.0,100.0,Attack - Second Striker,11,right,Chelsea,2023-06-30,2023-01-11,Gestifute,adidas,EPL
53,Armando Broja,,21,1.91,Albania  England,Slough,30.0,30.0,Attack - Centre-Forward,18,right,Chelsea,2028-06-30,2022-07-01,FA Sport,Nike,EPL
54,David Datro Fofana,,20,1.81,Cote d'Ivoire,Ouragahio,10.0,10.0,Attack - Centre-Forward,27,right,Chelsea,2029-06-30,2023-01-01,Aneke/PMG,Nike,EPL
55,Pierre-Emerick Aubameyang,Pierre-Emerick Emiliano François Aubameyang,33,1.86,Gabon  France,Laval,7.0,75.0,Attack - Centre-Forward,9,right,Chelsea,2024-06-30,2022-09-01,Premier Sports ...,Nike,EPL
56,Aaron Ramsdale,Aaron Christopher Ramsdale,25,1.9,England,Chesterton,38.0,38.0,Goalkeeper,1,right,Arsenal,2025-06-30,2021-08-20,World in Motion,adidas,EPL
57,Matt Turner,Matthew Charles Turner,28,1.91,United States  Lithuania,"Park Ridge, New Jersey",5.0,5.0,Goalkeeper,30,right,Arsenal,2025-06-30,2022-07-01,Wasserman,,EPL
58,William Saliba,William Alain André Gabriel Saliba,22,1.92,France  Cameroon,Bondy,55.0,55.0,Defender - Centre-Back,12,right,Arsenal,2024-06-30,2019-07-25,ND SPORTS MANAGEMENT,,EPL
59,Gabriel Magalhães,Gabriel dos Santos Magalhães,25,1.9,Brazil,São Paulo,50.0,50.0,Defender - Centre-Back,6,left,Arsenal,2027-06-30,2020-09-01,Bertolucci Sports,,EPL
60,Jakub Kiwior,Jakub Piotr Kiwior,23,1.89,Poland,Tychy,20.0,20.0,Defender - Centre-Back,15,left,Arsenal,2028-06-30,2023-01-23,FairSport,,EPL
61,Rob Holding,Robert Samuel Holding,27,1.89,England,Stalybridge,10.0,18.0,Defender - Centre-Back,16,right,Arsenal,2024-06-30,2016-07-22,CAA Stellar,Nike,EPL
62,Oleksandr Zinchenko,Зінченко Олександр Володимирович,26,1.75,Ukraine,"Radomyshl, Zhytomyr Oblast",40.0,40.0,Defender - Left-Back,35,left,Arsenal,2026-06-30,2022-07-22,Anatoliy Patuk,Puma,EPL
63,Kieran Tierney,,25,1.8,Scotland  Isle of Man,Douglas,25.0,32.0,Defender - Left-Back,3,left,Arsenal,2026-06-30,2019-08-08,CAA Stellar,adidas,EPL
64,Ben White,Benjamin William White,25,1.86,England,Poole,50.0,50.0,Defender - Right-Back,4,right,Arsenal,2026-06-30,2021-07-30,,adidas,EPL
65,Takehiro Tomiyasu,冨安 健洋,24,1.88,Japan,"Fukuoka, Fukuoka",25.0,25.0,Defender - Right-Back,18,right,Arsenal,2025-06-30,2021-08-31,UDN SPORTS,,EPL
66,Thomas Partey,Thomas Teye Partey,29,1.85,Ghana,Odumase Krobo,38.0,50.0,midfield - Defensive Midfield,5,right,Arsenal,2025-06-30,2020-10-05,JJ SPORT,adidas,EPL
67,Jorginho,,31,1.78,Italy  Brazil,Imbituba,35.0,65.0,midfield - Defensive Midfield,20,right,Arsenal,2024-06-30,2023-01-31,Brezilya Agency,Puma,EPL
68,Mohamed Elneny,Mohamed Naser Elsayed Elneny / محمد النني,30,1.79,Egypt,Mahalla,9.0,11.0,midfield - Defensive Midfield,25,right,Arsenal,2024-06-30,2016-01-14,CAA Base Ltd,adidas,EPL
69,Granit Xhaka,,30,1.86,Switzerland,Basel,28.0,50.0,midfield - Central Midfield,34,left,Arsenal,2024-06-30,2016-07-01,Signature - ISCM AG,Puma,EPL
70,Martin Ødegaard,Martin Ødegaard,24,1.78,Norway,Drammen,80.0,80.0,midfield - Attacking Midfield,8,left,Arsenal,2025-06-30,2021-08-20,Nordic Sky,Nike,EPL
71,Emile Smith Rowe,,22,1.82,England,London,38.0,40.0,midfield - Attacking Midfield,10,right,Arsenal,2026-06-30,2020-08-01,Jordan Wise,Nike,EPL
72,Fábio Vieira,Fábio Daniel Ferreira Vieira,22,1.7,Portugal,Santa Maria da Feira,27.0,30.0,midfield - Attacking Midfield,21,left,Arsenal,2027-06-30,2022-07-01,Gestifute,,EPL
73,Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,21,1.78,Brazil  Italy,Guarulhos,70.0,70.0,Attack - Left Winger,11,right,Arsenal,2027-06-30,2019-07-02,TFM Agency,adidas,EPL
74,Leandro Trossard,,28,1.72,Belgium,Waterschei,30.0,30.0,Attack - Left Winger,19,right,Arsenal,2026-06-30,2023-01-20,JC ...,,EPL
75,Bukayo Saka,,21,1.78,England  Nigeria,London,110.0,110.0,Attack - Right Winger,7,left,Arsenal,2024-06-30,2019-07-01,Elite Project Group ...,New Balance,EPL
76,Reiss Nelson,Reiss Luke Nelson,23,1.75,England  Jamaica,London,7.0,17.0,Attack - Right Winger,24,right,Arsenal,2023-06-30,2019-07-01,Relatives,adidas,EPL
77,Gabriel Jesus,Gabriel Fernando de Jesus,26,1.75,Brazil,São Paulo,75.0,80.0,Attack - Centre-Forward,9,right,Arsenal,2027-06-30,2022-07-04,Energy Sports,adidas,EPL
78,Eddie Nketiah,Edward Keddar Nketiah,23,1.75,England  Ghana,London,25.0,25.0,Attack - Centre-Forward,14,right,Arsenal,2027-06-30,2019-01-01,Elite Project Group ...,Nike,EPL
79,Alisson,,30,1.93,Brazil,Novo Hamburgo,45.0,90.0,Goalkeeper,1,right,Liverpool,2027-06-30,2018-07-19,NWS - Neis World ...,Nike,EPL
80,Caoimhín Kelleher,Caoimhín Odhran Kelleher,24,1.88,Ireland,Cork,8.0,8.0,Goalkeeper,62,right,Liverpool,2026-06-30,2019-07-01,CAA Stellar,,EPL
81,Adrián,,36,1.9,Spain,Sevilla,1.0,9.0,Goalkeeper,13,right,Liverpool,2023-06-30,2019-08-05,Bahía Internacional,adidas,EPL
82,Virgil van Dijk,,31,1.93,Netherlands  Suriname,Breda,45.0,100.0,Defender - Centre-Back,4,right,Liverpool,2025-06-30,2018-01-01,ROOF,Nike,EPL
83,Ibrahima Konaté,,23,1.94,France  Mali,Paris,35.0,45.0,Defender - Centre-Back,5,right,Liverpool,2026-06-30,2021-07-01,CAA Stellar,Nike,EPL
84,Joe Gomez,Joseph Dave Gomez,25,1.88,England  The Gambia,London,30.0,42.0,Defender - Centre-Back,2,right,Liverpool,2027-06-30,2015-07-01,Wasserman,Nike,EPL
85,Joel Matip,Joel André Matip Job,31,1.95,Cameroon  Germany,Bochum,16.0,40.0,Defender - Centre-Back,32,right,Liverpool,2024-06-30,2016-07-01,ASBW Sport Marketing,adidas,EPL
86,Nathaniel Phillips,Nathaniel Harry Phillips,26,1.9,England,Bolton,6.0,8.0,Defender - Centre-Back,47,right,Liverpool,2025-06-30,2019-07-01,PLG,,EPL
87,Rhys Williams,,22,1.95,England  Jamaica,Preston,3.0,5.0,Defender - Centre-Back,46,right,Liverpool,2026-06-30,2020-07-01,CAA Stellar,Puma,EPL
88,Andrew Robertson,Andrew Henry Robertson,29,1.78,Scotland,Glasgow,48.0,80.0,Defender - Left-Back,26,left,Liverpool,2026-06-30,2017-07-21,PLG,Nike,EPL
89,Konstantinos Tsimikas,Κωνσταντίνος Τσιμίκας,27,1.79,Greece,Thessaloniki,18.0,18.0,Defender - Left-Back,21,left,Liverpool,2025-06-30,2020-08-10,Prosport ...,adidas,EPL
90,Trent Alexander-Arnold,Trent John Alexander-Arnold,24,1.8,England,Liverpool,65.0,110.0,Defender - Right-Back,66,right,Liverpool,2025-06-30,2016-07-01,PLG,Under Armour,EPL
91,Calvin Ramsay,Calvin William Ramsay,19,1.77,Scotland,Aberdeen,5.0,5.0,Defender - Right-Back,22,right,Liverpool,2027-06-30,2022-07-01,,,EPL
92,Fabinho,,29,1.88,Brazil,Campinas,45.0,70.0,midfield - Defensive Midfield,3,right,Liverpool,2026-06-30,2018-07-01,Gestifute,adidas,EPL
93,Stefan Bajcetic,Stefan Bajčetić Maquieira,18,1.85,Spain  Serbia,Vigo,13.0,13.0,midfield - Defensive Midfield,43,right,Liverpool,2027-06-30,2022-07-01,F.J.VILLAVERDE,adidas,EPL
94,Thiago,,32,1.74,Spain  Brazil,San Pietro Vernotico,18.0,70.0,midfield - Central Midfield,6,right,Liverpool,2024-06-30,2020-09-18,The Player ...,adidas,EPL
95,Naby Keïta,Naby Laye Keïta,28,1.72,Guinea,Conakry,17.0,65.0,midfield - Central Midfield,8,right,Liverpool,2023-06-30,2018-07-01,ROOF,Nike,EPL
96,Curtis Jones,,22,1.85,England,Liverpool,17.0,30.0,midfield - Central Midfield,17,right,Liverpool,2027-06-30,2020-07-01,Wasserman,Nike,EPL
97,Arthur Melo,,26,1.72,Brazil,Goiânia,15.0,70.0,midfield - Central Midfield,29,right,Liverpool,2023-06-30,2022-09-01,P&P Sport ...,Nike,EPL
98,Jordan Henderson,Jordan Brian Henderson,32,1.87,England,Sunderland,10.0,35.0,midfield - Central Midfield,14,right,Liverpool,2025-06-30,2011-07-01,ROOF,,EPL
99,Alex Oxlade-Chamberlain,Alexander Mark David Oxlade-Chamberlain,29,1.75,England,Portsmouth,10.0,40.0,midfield - Central Midfield,15,right,Liverpool,2023-06-30,2017-08-31,Colossal Sports ...,Nike,EPL
100,James Milner,James Philip Milner,37,1.75,England,Leeds,2.0,21.0,midfield - Central Midfield,7,right,Liverpool,2023-06-30,2015-07-01,,Nike,EPL
101,Harvey Elliott,Harvey Scott Elliott,20,1.7,England,London,35.0,35.0,midfield - Attacking Midfield,19,left,Liverpool,2027-06-30,2021-07-01,ROOF,New Balance,EPL
102,Fábio Carvalho,Fábio Leandro Freitas Gouveia Carvalho,20,1.7,Portugal  England,Torres Vedras,20.0,20.0,midfield - Attacking Midfield,28,right,Liverpool,2027-06-30,2022-07-01,Concilium Sport,Nike,EPL
103,Luis Díaz,Luis Fernando Díaz Marulanda,26,1.8,Colombia,Barrancas,75.0,75.0,Attack - Left Winger,23,right,Liverpool,2027-06-30,2022-01-30,Nomi Sports,,EPL
104,Cody Gakpo,Cody Mathès Gakpo,24,1.93,Netherlands  Togo,Eindhoven,60.0,60.0,Attack - Left Winger,18,right,Liverpool,2028-06-30,2023-01-01,SEG,Puma,EPL
105,Diogo Jota,,26,1.78,Portugal,Porto,55.0,60.0,Attack - Left Winger,20,right,Liverpool,2027-06-30,2020-09-19,Gestifute,adidas,EPL
106,Mohamed Salah,محمد صلاح,30,1.75,Egypt,"Nagrig, Basyoun",70.0,150.0,Attack - Right Winger,11,left,Liverpool,2025-06-30,2017-07-01,,adidas,EPL
107,Darwin Núñez,Darwin Gabriel Núñez Ribeiro,23,1.87,Uruguay,Artigas,70.0,70.0,Attack - Centre-Forward,27,right,Liverpool,2028-06-30,2022-07-01,Gestifute,,EPL
108,Roberto Firmino,,31,1.81,Brazil,Maceió,22.0,90.0,Attack - Centre-Forward,9,right,Liverpool,2023-06-30,2015-07-01,ROGON,adidas,EPL
109,David de Gea,David de Gea Quintana,32,1.89,Spain,Madrid,15.0,70.0,Goalkeeper,1,right,Man Utd,2023-06-30,2011-07-01,Relatives,adidas,EPL
110,Jack Butland,,30,1.96,England,Bristol,1.5,22.0,Goalkeeper,31,right,Man Utd,2023-06-30,2023-01-06,Triple S Sports,Nike,EPL
111,Tom Heaton,Thomas David Heaton,37,1.88,England,Chester,0.6,6.0,Goalkeeper,22,right,Man Utd,2023-06-30,2021-07-02,10Ten Football,,EPL
112,Lisandro Martínez,,25,1.75,Argentina,Gualeguay,50.0,50.0,Defender - Centre-Back,6,left,Man Utd,2027-06-30,2022-07-27,Score Futbol,,EPL
113,Raphaël Varane,Raphaël Xavier Varane,30,1.91,France  Martinique,Lille,40.0,80.0,Defender - Centre-Back,19,right,Man Utd,2025-06-30,2021-08-14,CAA Base Ltd,Puma,EPL
114,Harry Maguire,Jacob Harry Maguire,30,1.94,England,Sheffield,25.0,70.0,Defender - Centre-Back,5,right,Man Utd,2025-06-30,2019-08-05,Triple S Sports,Puma,EPL
115,Victor Lindelöf,Victor Jörgen Nilsson-Lindelöf,28,1.87,Sweden,Västerås,15.0,35.0,Defender - Centre-Back,2,right,Man Utd,2024-06-30,2017-07-01,HCM Sports ...,,EPL
116,Phil Jones,Philip Anthony Jones,31,1.85,England,Preston,2.0,20.0,Defender - Centre-Back,4,right,Man Utd,2023-06-30,2011-07-01,Wasserman,adidas,EPL
117,Teden Mengi,Teden Mambuene Mengi,21,1.86,England  Angola,Manchester,2.0,2.0,Defender - Centre-Back,43,right,Man Utd,2024-06-30,2020-07-01,CLOSEVIEW,,EPL
118,Luke Shaw,Luke Paul Hoare Shaw,27,1.78,England,Kingston upon Thames,35.0,42.0,Defender - Left-Back,23,left,Man Utd,2027-06-30,2014-07-01,CAA Stellar,adidas,EPL
119,Tyrell Malacia,Tyrell Johannes Chicco Malacia,23,1.69,Netherlands  Curacao,Rotterdam,22.0,22.0,Defender - Left-Back,12,left,Man Utd,2026-06-30,2022-07-05,Relatives,,EPL
120,Brandon Williams,Brandon Paul Brian Williams,22,1.8,England,Crumpsall,10.0,12.0,Defender - Left-Back,33,right,Man Utd,2024-06-30,2019-07-01,,Puma,EPL
121,Diogo Dalot,José Diogo Dalot Teixeira,24,1.83,Portugal,Braga,35.0,35.0,Defender - Right-Back,20,right,Man Utd,2024-06-30,2018-07-01,Proeleven S.A.,Nike,EPL
122,Aaron Wan-Bissaka,,25,1.83,England  DR Congo,London,22.0,40.0,Defender - Right-Back,29,right,Man Utd,2024-06-30,2019-07-01,Unique Sports Group,adidas,EPL
123,Casemiro,Carlos Henrique Casimiro,31,1.85,Brazil  Spain,São José dos Campos,50.0,80.0,midfield - Defensive Midfield,18,right,Man Utd,2026-06-30,2022-08-22,Best of You,,EPL
124,Scott McTominay,Scott Francis McTominay,26,1.91,Scotland  England,Lancaster,25.0,35.0,midfield - Defensive Midfield,39,right,Man Utd,2025-06-30,2017-07-01,,adidas,EPL
125,Christian Eriksen,Christian Dannemann Eriksen,31,1.82,Denmark,Middelfart,25.0,100.0,midfield - Central Midfield,14,right,Man Utd,2025-06-30,2022-07-15,The Talents ...,Nike,EPL
126,Marcel Sabitzer,,29,1.77,Austria,Wels,20.0,42.0,midfield - Central Midfield,15,right,Man Utd,2023-06-30,2023-01-31,ROGON,,EPL
127,Fred,,30,1.69,Brazil,Belo Horizonte,20.0,50.0,midfield - Central Midfield,17,left,Man Utd,2024-06-30,2018-07-01,Fabio Mello Sports,,EPL
128,Donny van de Beek,,26,1.84,Netherlands,Nijkerkerveen,17.0,55.0,midfield - Central Midfield,34,right,Man Utd,2025-06-30,2020-09-02,HCM Sports ...,adidas,EPL
129,Zidane Iqbal,Zidane Aamar Iqbal/ إقبال زيدان/,20,1.81,Iraq  England,Manchester,0.8,0.8,midfield - Central Midfield,55,right,Man Utd,2025-06-30,2023-01-01,SEG,Puma,EPL
130,Kobbie Mainoo,,18,1.75,England  Ghana,Stockport,0.8,0.8,midfield - Central Midfield,73,right,Man Utd,2027-06-30,2023-01-01,CAA Stellar,,EPL
131,Bruno Fernandes,Bruno Miguel Borges Fernandes,28,1.79,Portugal,Maia,75.0,90.0,midfield - Attacking Midfield,8,right,Man Utd,2026-06-30,2020-01-29,MRP.POSITIONUMBER,Nike,EPL
132,Marcus Rashford,,25,1.85,England  St. Kitts & Nevis,Manchester,80.0,85.0,Attack - Left Winger,10,right,Man Utd,2024-06-30,2016-01-01,Relatives,Nike,EPL
133,Jadon Sancho,Jadon Malik Sancho,23,1.8,England  Jamaica,London,55.0,130.0,Attack - Left Winger,25,right,Man Utd,2026-06-30,2021-07-23,Elite Project Group ...,Nike,EPL
134,Anthony Elanga,Anthony David Junior Elanga,21,1.78,Sweden  Cameroon,Hyllie,25.0,25.0,Attack - Left Winger,36,right,Man Utd,2026-06-30,2022-01-01,CAA Stellar,Nike,EPL
135,Alejandro Garnacho,Alejandro Garnacho Ferreyra,18,1.8,Argentina  Spain,Madrid,25.0,25.0,Attack - Left Winger,49,right,Man Utd,2028-06-30,2022-07-01,#LEADERS,Nike,EPL
136,Antony,,23,1.72,Brazil,São Paulo,70.0,75.0,Attack - Right Winger,21,left,Man Utd,2027-06-30,2022-08-30,4ComM,Puma,EPL
137,Facundo Pellistri,Facundo Pellistri Rebollo,21,1.74,Uruguay  Spain,Montevideo,3.0,7.0,Attack - Right Winger,28,right,Man Utd,2025-06-30,2020-10-05,CAA Stellar,,EPL
138,Mason Greenwood,Mason Will John Greenwood,21,1.81,England,Bradford,,50.0,Attack - Right Winger,11,both,Man Utd,2025-06-30,2019-07-01,,,EPL
139,Anthony Martial,Anthony Jordan Martial,27,1.81,France  Guadeloupe,Massy,15.0,65.0,Attack - Centre-Forward,9,right,Man Utd,2024-06-30,2015-09-01,USFA Management,Nike,EPL
140,Wout Weghorst,Wout François Maria Weghorst,30,1.97,Netherlands,Borne,14.0,30.0,Attack - Centre-Forward,27,right,Man Utd,2023-06-30,2023-01-13,One II Agency,adidas,EPL
141,Hugo Lloris,Hugo Hadrien Dominique Lloris,36,1.88,France,Nice,4.0,30.0,Goalkeeper,1,left,Tottenham,2024-06-30,2012-08-31,,Nike,EPL
142,Fraser Forster,Fraser Gerard Forster,35,2.01,England,Hexham,1.5,15.0,Goalkeeper,20,right,Tottenham,2024-06-30,2022-07-01,CAA Stellar,Under Armour,EPL
143,Alfie Whiteman,Alfie Malik Whiteman,24,1.88,England,London,0.5,1.0,Goalkeeper,41,right,Tottenham,2025-06-30,2019-07-01,Remington Ellis ...,,EPL
144,Brandon Austin,Brandon Anthony Austin,24,1.88,England  United States,Hemel Hempstead,0.3,0.3,Goalkeeper,40,right,Tottenham,2024-06-30,2021-08-01,Unique Sports Group,Under Armour,EPL
